league,year,injury_type,injury_category,games_missed
NFL,2009.0,quadricep quadriceps hamstring,Lower Body,11.0
NFL,2009.0,ribs,Upper Body,0.0
NFL,2009.0,hand,Upper Body,12.0
NFL,2009.0,back illness,Illness,0.0
NFL,2009.0,knee,Lower Body,14.0
NFL,2009.0,illness,Illness,0.0
NFL,2009.0,head,Head,1.0
NFL,2009.0,fibula finger,Lower Body,4.0
NFL,2009.0,calf knee,Lower Body,2.0
NFL,2009.0,hamstring,Lower Body,0.0
NFL,2009.0,shoulder chest groin ankle,Lower Body,0.0
NFL,2009.0,ankle shoulder,Lower Body,0.0
NFL,2009.0,neck,Upper Body,5.0
NFL,2009.0,illness,Illness,0.0
NFL,2009.0,ankle,Lower Body,0.0
NFL,2009.0,knee,Lower Body,12.0
NFL,2009.0,hamstring,Lower Body,2.0
NFL,2009.0,ankle,Lower Body,0.0
NFL,2009.0,shoulder groin,Lower Body,0.0
NFL,2009.0,knee illness groin toe,Illness,8.0
NFL,2009.0,calf,Lower Body,2.0
